Date and Time;Max Training Num;Max Testing Num;Max Prediction Num;Validation Split;K fold Num;Epochs;Batch Size;Run K fold;Input Shape;Augmented Multiple;Use Augmented Data;Patience;Use Early Stopping;Use Model Checkpoint;Monitor Early Stopping;Monitor Model Checkpoint;Train_Positive_Shape;Train_Negative_Shape;All_Training_Data_Shape;All_Training_Labels_Shape;Training_Data_Shape;Validation_Data_Shape;Training_Labels_Shape;Validation_Labels_Shape;Validation_Split;Epochs;Batch_size;Test_Loss;Test_Accuracy;Predicted_Lens_47;Predicted_No_Lens_47;Predicted_Lens_84;Predicted_No_Lens_84
26_08_2020_13_29_18;1000;9,22337E+18;9,22337E+18;0.2;5;50;100;FALSE;(100, 100, 3);2;TRUE;3;TRUE;TRUE;val_loss;val_acc;(1000, 100, 100, 3);(1000, 100, 100, 3);-4000;-4000;(3200, 100, 100, 3);(800, 100, 100, 3);-3200;-800;0.2;50;100;0.3617611825466156;0.8340238928794861;59;35;69;99
26_08_2020_13_33_12;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;50;100;FALSE;(100, 100, 3);2;TRUE;3;TRUE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;50;100;0.029569430276751518;0.9888962507247925;13;81;4;164
27_08_2020_16_28_17;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;50;100;FALSE;(100, 100, 3);2;TRUE;3;TRUE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;50;100;0.04874143376946449;0.978704035282135;26;68;5;163
27_08_2020_08_41_09;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;50;100;FALSE;(100, 100, 3);2;TRUE;3;FALSE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;50;100;0.02014929987490177;0.993205189704895;13;81;4;164
28_08_2020_08_03_21;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;50;100;FALSE;(100, 100, 3);2;TRUE;3;TRUE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;50;100;0.02915218099951744;0.9898906350135803;7;87;3;165
04_09_2020_09_18_05;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;50;100;FALSE;(100, 100, 3);2;TRUE;3;FALSE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;50;100;0.022479664534330368;0.9917136430740356;6;88;0;168
08_09_2020_09_38_10;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;50;100;FALSE;(100, 100, 3);2;TRUE;3;FALSE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;50;100;0.0211627297103405;0.9938680529594421;8;86;2;166
15_09_2020_10_59_57;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;200;100;FALSE;(100, 100, 3);2;TRUE;10;TRUE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;200;100;0.020415490493178368;0.9936195015907288;5;89;2;166
18_09_2020_13_31_54;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;200;100;FALSE;(100, 100, 3);2;TRUE;10;TRUE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;200;100;0.02360134944319725;0.9900563359260559;8;86;2;166
16_09_2020_13_55_14;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;200;100;FALSE;(100, 100, 3);2;TRUE;10;FALSE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;200;100;0.019488878548145294;0.9934537410736084;6;88;1;167
21_09_2020_10_26_28;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;200;100;FALSE;(100, 100, 3);2;TRUE;10;TRUE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;200;100;0.027994446456432343;0.990967869758606;12;82;3;165
22_09_2020_07_52_42;9,22337E+18;9,22337E+18;9,22337E+18;0.2;5;200;100;FALSE;(100, 100, 3);2;TRUE;10;FALSE;TRUE;val_loss;val_acc;(24192, 100, 100, 3);(24194, 100, 100, 3);-96772;-96772;(77417, 100, 100, 3);(19355, 100, 100, 3);-77417;-19355;0.2;200;100;0.026883339509367943;0.9899734854698181;14;80;3;165
