Folder,ml_g_SDSS,ml_r_SDSS,ml_i_SDSS,ms_g_SDSS,ms_r_SDSS,ms_i_SDSS,rl,ql,b,xs,ys,qs,ps,rs
0.0,19.605,18.299,17.878,21.761,21.696,21.541,4.918590538167437,0.9952464811890585,4.237146285076598,1.6939935790658966,1.6313431465709753,2.4733338232612363,196.32158917413773,1.421553631962177
1.0,20.023,19.405,19.144,22.077,21.924,21.826,5.190674944318683,0.8637692732140672,4.433083746373277,2.774017057343842,1.4733109332210959,2.2933108531312736,241.8923185657329,1.430909576668653
2.0,20.427,19.825,19.567,22.185,21.785,21.264,4.668608248667779,0.9910424434940042,4.607232106217728,1.0413247212888963,2.829699437216985,2.4665389511377374,104.73876997820977,1.950704396153729
3.0,20.934,19.358,18.794,21.772,21.703,21.561,7.808940383647689,0.9911105706898639,3.8158205265386815,1.1659858189730026,1.4708498954872924,1.4615391549158794,119.5852673592233,1.7085824364773918
4.0,20.388,19.438,19.005,21.974,21.648,21.152,5.164059631780208,0.8786783066902071,3.008085303451911,1.137746732594728,1.4735664771149233,2.3575495163015536,302.45742796467033,1.8374648170164227
5.0,20.95,19.718,19.275,22.077,21.924,21.826,6.655284852311983,0.9800018347144634,3.5688894114659586,2.5243963246528467,2.151501765912828,1.5016388251938653,220.33469951848235,1.9370329411684932
6.0,21.053,19.784,19.247,21.869,21.588,21.557,3.4539031106323246,0.9563620309715466,4.019087402829764,2.272956055711743,1.606428233317815,1.8945296430666203,33.95902833530855,1.2593564757756541
7.0,20.377,19.747,19.445,21.772,21.703,21.561,7.431400420700804,0.8231805330800039,4.838763036368808,1.1063018699162805,2.631038239138838,2.195829767448139,228.24787238640153,1.863438174848602
8.0,17.955,17.12,16.846,22.185,21.785,21.264,4.406473703511259,0.966318317263149,4.645649877261501,2.3024778199176446,2.0690692106093307,2.8641465693172194,200.93547648509954,1.7984976247362625
9.0,19.391,19.059,18.874,22.213,21.71,21.51,3.1122438557755716,0.8627939696361606,4.325363761577653,2.7827722417830887,2.7795973356503367,1.744746806845469,241.0130376519635,1.9251551204059003
